AIYETORO,KWARA,ILR,+2,FZ4,Ilorin Hub
AJAGBAODUDU,DELTA,WRI,+1,FB,Warri Hub
AJAH,LAGOS,LAS,0,FB,Lagos Hub
AJALI,ANAMBRA,ONA,+1,FD,Onitsha Hub
AJAOKUTA,KOGI,LKJ,+1,FE,
AJASE IPO,KWARA,ILR,+1,FC,Ilorin Hub
AJAWA,OYO,IBA,+1,FE,Ibadan Hub
AJEGUNLE,LAGOS,LOS,0,DIRECT,Lagos Hub
AJEROMI,LAGOS,LOS,0,DIRECT,Lagos Hub
AJI,ENUGU,ENU,+1,FE,Enugu Hub
AJILETE,OGUN,ABK,+1,FD,Abeokuta Hub
AJINGI,KANO,KAN,+1,FD,Kano Hub
AJIRAN,LAGOS,LAS,0,FC,Lagos Hub
AJIWA,KATSINA,KAS,+1,FC,Kano Hub
AKABO,IMO,ORI,+1,FA,Owerri Hub
AKAKA REMO,OGUN,ABK,+1,FE,Abeokuta Hub
AKAMKPA,CROSS RIVER,CBQ,0,FD,Calabar Hub
AKANRAN,OYO,IBA,+1,FD,Ibadan Hub
AKASA,BAYELSA,YEN,+3,FZ13,PH Hub
AKATA,IMO,ORI,+1,FB,Owerri Hub
AKENIMA AHOADA WEST,RIVERS,PHC,+2,FH,PH Hub
AKILI OZIZA,ANAMBRA,ONA,+1,FH,Onitsha Hub
AKIRIBOTO,OSUN,OSG,0,FB,Osogbo Hub
AKIRIKA,ABIA,ABA,+1,FD,Aba Hub
AKKO,BAUCHI,BAU,+1,FC,Bauchi Hub
AKODO,LAGOS,LAS,+1,FZ2,Lagos Hub
AKOKA,LAGOS,LOS,0,DIRECT,Lagos Hub
AKOKWA,IMO,ORI,+2,FD,Owerri Hub
AKOR,ANAMBRA,ONA,+2,FC,Onitsha Hub
AKPABUYO,CROSS RIVER,CBQ,0,FD,Calabar Hub
AKPAKWUME,ENUGU,ENU,+1,FG,Enugu Hub
AKPO,ANAMBRA,ONA,+2,FC,Onitsha Hub
AKPOF,ENUGU,ENU,+1,FI,Enugu Hub
AKPOGA NIKE,ENUGU,ENU,+1,FD,Enugu Hub
AKU,ENUGU,ENU,+1,FE,Enugu Hub
AKUKU OBA,ANAMBRA,ONA,+1,FB,Onitsha Hub
AKUMAZI,DELTA,WRI,+1,FE,Warri Hub
AKUNGBA AKOKO,ONDO,AKR,+2,FE,Akure Hub
AKURE,ONDO,AKR,0,DIRECT,Akure Hub
AKUTE,OGUN,ABK,+1,FC,Abeokuta Hub
AKWANGA,NASARAWA,LAF,+1,FZ2,Abuja Hub
AKWA-UKWU,ANAMBRA,ONA,+1,FB,Onitsha Hub
AKWA-UKWU-IGBO,DELTA,WRI,+2,FE,Warri Hub
AKWETE,ABIA,ABA,+1,FD,Aba Hub
AKWU OHA,DELTA,WRI,+1,FC,Warri Hub
ALABA,LAGOS,LOS,0,DIRECT,Lagos Hub
ALADJA,DELTA,WRI,0,FA,Warri Hub
ALAGBA,LAGOS,LOS,0,DIRECT,Lagos Hub
ALAKA,LAGOS,LOS,0,DIRECT,Lagos Hub
ALAYI,ABIA,ABA,+1,FD,Aba Hub
ALBASU,KANO,KAN,+1,FB,Kano Hub
ALEBENE,BAYELSA,YEN,+2,FZ13,PH Hub
ALEIBIRI,BAYELSA,YEN,+2,FZ11,PH Hub
ALIERU,SOKOTO,BRK,+1,FE,Sokoto Hub
ALIMOSHO,LAGOS,LOS,0,DIRECT,Lagos Hub
